att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,label
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,D
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,A
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,D
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,D
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,B
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,D
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,G
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,G
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,G
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,B
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,D
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,A
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,B
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,B
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,B
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,F
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,E
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,E
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,A
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,F
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,A
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,B
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,D
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,A
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,B
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,D
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,F
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,F
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,B
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,F
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,B
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,G
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,F
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,E
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,G
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,A
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,B
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,B
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,B
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,B
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,D
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,D
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,C
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,A
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,A
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,A
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,B
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,G
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,D
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,A
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,A
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,C
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,G
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,B
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,B
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,C
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,G
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,D
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,B
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,A
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,G
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,D
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,B
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,F
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,E
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,C
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,C
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,D
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,A
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,A
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,B
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,A
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,F
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,A
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,G
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,B
